,docId,sourceName,title,summary,Nhãn
0,a17cf79fc0f434d3a1b5999e9c61bada,Hà Nội mới,Chung tay vì môi trường xanh,"(HNNN) - Tình trạng người dân dùng than tổ ong, đốt rơm rạ sau khi thu hoạch, cộng thêm khói bụi từ các công trường, nhà máy, phương tiện giao thông... khiến không khí ở Thủ đô càng thêm ngột ngạt, ô nhiễm. Làm thế nào để hạn chế những hành vi có hại đến môi trường, chất lượng không khí của Thủ đô, đồng thời hướng người dân sử dụng nhiều hơn nguồn năng lượng xanh, sạch và bền vững? Hà Nội Ngày nay đã ghi lại ý kiến của các chuyên gia, nhà quản lý về vấn đề này.",1
1,da9bd20f8be7250fbf0edd9c692a5382,cafebiz,"Ngoại thành đốt rơm rạ, dân nội đô khổ sở vì ô nhiễm","Hai tuần trở lại đây, nông dân tại các huyện ngoại thành Hà Nội bắt đầu đốt rơm rạ sau khi thu hoạch xong lúa chiêm xuân, khiến khu vực nội thành mù mịt ô nhiễm nặng nề",-1
2,66588c6e364078182b9b17deb34e88de,Thanh Niên,Người ngoại thành đốt rơm rạ 'làm khổ' nội thành,"Những ngày gần đây, người dân Hà Nội lại có nguy cơ chịu khổ vì ô nhiễm không khí khi một số huyện ngoại thành tái diễn tình trạng đốt rơm rạ sau mùa gặt.",-1
3,6f39aca6dbfd1769799c523c74e6705e,Vĩnh Phúc Online,Xử lý rơm rạ sau thu hoạch- Lợi ích kép cho nông nghiệp,"Thay vì đốt rơm rạ sau thu hoạch, với sự hỗ trợ của Trung tâm Khuyến nông tỉnh, nông dân các địa phương đã sử dụng chế phẩm vi sinh xử lý rơm rạ trên cây lúa, từng bước tạo ra những cánh đồng không khói, vừa hoàn trả lại nguồn hữu cơ, tăng độ phì cho đất, vừa giảm thiểu ô nhiễm môi trường, góp phần nâng cao năng suất, giá trị sản phẩm lúa gạo theo hướng bền vững.",1
4,f76249f7a06d1be55ded50e0335a1bfe,Báo Thái Bình,Hưng Hà: Tăng cường các biện pháp ngăn chặn hành vi đốt rơm rạ sau thu hoạch lúa xuân,"Hiện nay, nông dân huyện Hưng Hà đã cơ bản hoàn thành thu hoạch lúa xuân, khẩn trương làm đất gieo cấy lúa mùa, tuy nhiên tình trạng đốt rơm rạ đang diễn ra tại một số địa phương, gây ô nhiễm môi trường không khí, ảnh hưởng đến tầm nhìn giao thông và mất mỹ quan đô thị.",1
5,9c398dd07a8d4819b96303e76bf47cf7,Việt Time,Thủ đô Tehran oằn mình trong bão cát,Ủy ban khẩn cấp về ô nhiễm không khí của tỉnh Tehran đã ra lệnh đóng cửa tất cả các văn phòng hành chính và trung tâm giáo dục công cộng do cát bụi bay mù mịt.,-1
6,db590bfc22ebb736bb4ecee644c93d4b,Vĩnh Phúc Online,Người dân thị trấn Yên Lạc “kêu cứu” vì rác thải,"Cách nhà dân chỗ gần nhất chỉ hơn 100m, không được xử lý theo quy trình quy định mà chủ yếu được đốt trực tiếp; khói bụi, mùi hôi thối bốc lên nồng nặc… là thực trạng của bãi tập kết rác thải sinh hoạt ở khu 4 Đoài, thị trấn Yên Lạc, huyện Yên Lạc trong hơn 10 năm qua, khiến cuộc sống của nhiều hộ dân nơi đây vô cùng khổ sở. Người dân đã nhiều lần “kêu cứu” nhưng dường như các cấp chính quyền địa phương vẫn chưa nghe thấu?",-1
7,29106cec396bb88c6d31d7e00cec4e3c,VietNam Plus,Iran: Thủ đô Tehran bị ảnh hưởng bởi bão cát nghiêm trọng,Ủy ban khẩn cấp về ô nhiễm không khí của tỉnh Tehran đã ra lệnh đóng cửa tất cả các văn phòng hành chính và trung tâm giáo dục công cộng do cát bụi bay mù mịt.,-1
8,1df04c1d3df8951b16bba2fded8472b8,Thanh Niên,Nơi nào ô nhiễm nhất thế giới?,"Theo báo cáo của Tổ chức Y tế thế giới, 99% toàn cầu phải sống trong không khí ô nhiễm tới từ khí thải giao thông, chất thải công nghiệp hay các yếu tố tự nhiên như bụi sa mạc.",-1
9,5918520aed7fdf0594f0253309a81873,Hải Dương - Báo điện tử của tỉnh Hải Dương,"Đốt rơm sau thu hoạch gây ô nhiễm môi trường, che khuất tầm nhìn","Ảnh chụp lúc 18 giờ 40 ngày 28.6 tại cánh đồng thôn Nghĩa, thị trấn Lai Cách (Cẩm Giàng)",-1
10,60898b6ee41d6e6afe5f6af6eb1a76b7,phunuvn,Kem Dưỡng Chiết Xuất Tràm Trà Và Rau Má Tea Tree Biome Blemish Cica Cream,"Kem Dưỡng Chiết Xuất Tràm Trà Và Rau Má Tea Tree Biome Blemish Cica Cream

Ngày nay, môi trường ô nhiễm, khói bụi, áp lực công việc, chế độ sinh hoạt không...",0
11,6c52722a0e73200c7c1e75fe54337ef0,Khoa học phát triển,Mở cửa làm tăng nồng độ carbon đen trong nhà,"Carbon đen, một sản phẩm từ quá trình đốt cháy không hoàn toàn các sản phẩm như nhựa, dầu thực vật, sinh khối…, là một trong những nguyên nhân làm ô nhiễm không khí, do đó có tiềm năng ảnh hưởng đến sức khỏe nếu bị phơi nhiễm dài hạn.",-1
12,191a95cdc2aceea6fe5c685795b48db4,Nhân dân,Khó khăn trong xử lý rác thải nông thôn,"Nhiều năm nay, khi đời sống người dân vùng nông thôn các tỉnh nam đồng bằng sông Hồng từng bước cải thiện, khối lượng rác sinh hoạt thải ra môi trường cũng tăng lên. Khắp nơi hình thành các khu thu gom rác lộ thiên, bốc mùi hôi thối. Mặc dù một số địa phương đã mạnh dạn đầu tư lò đốt thủ công, nhưng cũng không giảm được tình trạng ô nhiễm môi trường.",-1
13,ac52bf53a369f1754de1a734fea06bd4,Kinh Te Moi Truong,Tin tức môi trường nổi bật ngày hôm nay 22/6: Liên tiếp xảy ra 4 trận động đất tại huyện Kon Plông,"Ngoại thành đốt rơm rạ, dân nội đô khổ sở vì ô nhiễm; Quyết liệt xử lý tình trạng khai thác cát trái phép ở Lâm Đồng; Xử lý nghiêm hành vi xâm hại san hô tại quần thể Hòn Yến... là những tin tức môi trường nổi bật ngày hôm nay, 22/6.",-1
14,ede1e11980127aaee5293a9f7e36954a,Kinh Te Moi Truong,"Năm 2035, EU sẽ dừng bán xe sử dụng động cơ đốt","Theo tuyên bố của Liên minh châu Âu (EU), khối này đã thông qua kế hoạch dừng việc bán xe sử dụng động cơ đốt trong vào năm 2035 tại châu Âu nhằm giảm 100% lượng khí thải CO2 từ ô tô mới.",1
15,56c35fc93bb9bb1f2c6a56e8a4dccfce,Nghệ An 24h,Một số phương pháp làm giảm bụi trong nhà ở,"Ô nhiễm khói bụi ngày càng phức tạp, đặc biệt ở các thành phố lớn, nơi có nhiều phương tiện giao thông tham gia, mật độ dân số cao... Do vậy, việc sản sinh ra nhiều bụi là điều không tránh khỏi. Điều này sẽ gây ảnh hưởng không nhỏ đối với đời sống sinh hoạt gia đình.",1
16,6f10bd36852d129d59b763a0e7505dda,Báo Thái Bình,Kiến Xương: Tái diễn tình trạng phơi thóc trên đường và đốt rơm,"Mặc dù thời gian qua, huyện Kiến Xương đã tích cực tuyên truyền song vẫn tái diễn tình trạng đốt rơm rạ ở hầu hết các địa phương trên địa bàn, không chỉ gây ô nhiễm môi trường, ảnh hưởng đến người tham gia giao thông, sức khỏe của người dân mà còn tác động tiêu cực đến chất lượng đất. Cùng với đó là tình trạng chiếm dụng lòng, lề đường để phơi thóc gây khó khăn cho người tham gia giao thông và gây mất an toàn giao thông.",-1
17,3dd8d65272a6acce900518393973d5d1,Dich vu Vinaphone,Hà Nội: Xử lý các điểm 'nóng' về ô nhiễm môi trường,"Ngày 7/6, UBND thành phố Hà Nội chỉ đạo các sở, ngành, quận, huyện tăng cường kiểm soát ô nhiễm môi trường không khí và xử lý triệt để các điểm nóng về ô nhiễm bụi, khí thải trên địa bàn thành phố.

",1
18,2f35012fb6e94c41fbebbbf03483ac26,Báo điện tử VTV,Sống trong lo sợ vì ô nhiễm bụi đá,"VTV.vn - Mất an toàn giao thông và nỗi lo bệnh tật rình rập khi có đến hàng chục nghìn lượt xe tải chở đất đá mỗi ngày qua khu kinh tế Dung Quất, Quảng Ngãi.",-1
19,329d90dfd4ec71c69c2f28eee257dd52,Việt Giải Trí,Công thức làm mặt nạ từ thiên nhiên giúp làn da trắng hồng rạng rỡ,"Có rất nhiều nguyên nhân khiến làn da của chị em trở nên sần sùi xấu xí như tia cực tím ánh nắng mặt trời, khói bụi, ô nhiễm môi trường, chế độ sinh hoạt không hợp lý…",0
20,a1a6af8e95505877fd34606db0be251c,Dich vu Vinaphone,Kiểm tra công tác bảo vệ môi trường tại nhà máy Công ty Cổ phần May Tây Sơn,"Liên quan đến phản ánh của phóng viên Thông tấn xã Việt Nam về việc người dân khối Phú Xuân, thị trấn Phú Phong, huyện Tây Sơn, tỉnh Bình Định bức xúc vì nhiều năm phải chịu mùi hôi, khét và khói bụi từ lò đốt của nhà máy Công ty Cổ phần May Tây Sơn, ngày 9/4, bà Hà Thị Thanh Hương - Phó Giám đốc Sở Tài nguyên và Môi trường Bình Định cho biết, mới đây Sở đã cùng với Ủy ban nhân dân huyện Tây Sơn và các đơn vị liên quan tiến hành kiểm tra thực tế công tác bảo vệ môi trường tại nhà máy.",1
21,df724f58ac12feaced40ae83e2def51a,24h,"Clip: 2 ô tô tải rượt đuổi, đánh võng, chèn ép nhau tung khói bụi gây phẫn nộ","Hai chiếc ô tô tải liên tục rượt đuổi nhau, đánh võng, chèn ép nhau trên đường khiến khói bụi bay mù mịt.",-1
22,0525a446ae48d1406d3f50f3d4520a44,Báo Thái Bình,Ô nhiễm không khí dạng hạt làm giảm tuổi thọ trên toàn cầu,"Ô nhiễm không khí dạng hạt mịn PM 2.5 - các hạt bụi li ti trong không khí có đường kính 2,5 micromet hoặc nhỏ hơn - đang làm giảm tuổi thọ trên toàn cầu.",-1
23,1aeb53719b701327e0b7cb06f63966c1,Báo điện tử VTV,Ô nhiễm không khí làm giảm 2 năm tuổi thọ con người,"VTV.vn - Ngày 14/6, Viện Chính sách năng lượng thuộc Đại học Chicago đã công bố báo cáo cho thấy ô nhiễm không khí do đốt nhiên liệu hóa thạch đang làm mất đi 2 năm tuổi.",-1
24,06ecd932b83a17ac00f49c44552c5802,eva,"5 loại cây hút bụi mịn được ví như máy lọc không khí, nên chọn 1 cây đặt trong nhà","Bạn nên lau sạch lá thường xuyên để có bề mặt thu hút bụi, giúp lọc không khí.",0
25,c972ac16052f9c44e4ad31edb3228aae,Việt Time,Top 5 loại cây làm 'máy hút bụi mịn' giúp lọc không khí trong nhà,"Bạn nên lau sạch lá thường xuyên để có bề mặt thu hút bụi, giúp lọc không khí.",0
26,060effca33e3a82b158dc57fa5b669c8,Tap Chi Tai Chinh Online,"Năm 2035, EU sẽ dừng bán xe sử dụng động cơ đốt trong","Theo tuyên bố của Liên minh châu Âu (EU), khối này đã thông qua kế hoạch dừng việc bán xe sử dụng động cơ đốt trong vào năm 2035 tại châu Âu nhằm giảm 100% lượng khí thải CO2 từ ô tô mới.",1
27,91fdab930f719ba20ceac9d9806faad7,Thừa thiên Huế Online,EU thông qua kế hoạch cấm bán xe dùng động cơ đốt trong vào năm 2035,"TTH - Theo thông tin vừa được Liên minh châu Âu (EU) công bố ngày 29/6, khối 27 quốc gia thành viên này đã thông qua kế hoạch chấm dứt việc bán xe dùng động cơ đốt trong vào năm 2035 ở châu Âu, trong nỗ lực nhằm giảm lượng khí thải CO2 từ ô tô mới xuống 0.",1
28,27d5a73f0cbe4f68f1315c2bacdccdb4,24h,"Những công viên xanh mướt mắt cỏ cây giữa đô thị khói bụi, ồn ào","Những đô thị lớn trên thế giới luôn cố gắng tạo ra nhiều mảng xanh để dung hòa lại không khí khói bụi, ồn ào, đồng thời tạo điểm tham quan hút khách du lịch.",1
29,eececb39b5c6b6b66811b7baa2de216f,Người lao động,"Người dân ám ảnh ""có nhà không dám về"" sau vụ cháy kho hoá chất","(NLĐO) - Gần 10 ngày xảy ra vụ cháy kho hóa chất trên đường Trần Đại Nghĩa (xã Lê Minh Xuân, huyện Bình Chánh, TP HCM), khói bụi và khí độc vẫn tỏa ra làm ảnh hưởng cuộc sống người dân.",-1
30,054b576242339276004abb234fea9d86,genk.vn,LG ra mắt dòng máy lọc khí PuriCare Pro,"Máy có khả năng lọc bụi mịn tới PM0.02, phấn hoa, mạt cưa, formaldehyde, và các tác nhân gây hại khác trong không khí như khí SO2, NO2.",0
31,b2841d5b3e9ad7864ad3d729590e219d,Hà Tĩnh 24h,Lộc Hà (Hà Tĩnh): Khốn khổ từ những tuyến mương “không lối thoát”,"Nhiều năm nay người dân thị trấn Lộc Hà, huyện Lộc Hà (Hà Tĩnh) phải chung sống với ô nhiễm từ những tuyến mương “không lối thoát”, bốc mùi hôi thối, ảnh hưởng nặng nề đến đời sống và sức khỏe.",-1
32,782807b525439b9089936557ebbbdf7c,cafef,"Khách sạn ""ngàn sao"" cho những ai thích ngửi mùi xăng: Giá gần 8 triệu VNĐ/đêm, tự chill giữa tiếng ồn, khói bụi và ánh mắt người qua đường","Khách sạn ""ngàn sao"" cho những ai thích ngửi mùi xăng: Giá gần 8 triệu VNĐ/đêm, tự chill giữa tiếng ồn, khói bụi và ánh mắt người qua đường",0
33,b65f03292399668cff69ffafbade421e,Báo điện tử đài tiếng nói Việt Nam,"Người dân Văn Yên, Yên Bái tố trại lợn phát tán mùi hôi thối","VOV.VN - Những ngày gần đây, bầu không khí tại các xã Đông An và An Bình (Văn Yên, Yên Bái) bỗng nhiên xuất hiện mùi hôi thối vô cùng khó chịu. Mùi hôi thối này được cho là từ trang trại nuôi lợn của Công ty Cổ phần phát triển nông nghiệp công nghệ cao tích hợp ANIFER ở thôn An Khang, xã Đông An.",-1
34,0b74c1dd0f2dd5f4296775c4afe22f11,Diễn đàn tin học,Mành tre quận 2 giá rẻ,"Thi công lắp đặt mành tre quận 2 
""Việt Sun Blinds chuyên cung cấp mành tre quận 2 uy tín chất lượng 
Lợi ích mành tre quận 2 
Giúp che nắng hiệu quả 
Phòng ngừa khói bụi, tiếng ồn 
Che mưa, chắn gió"" 
#manhtrequan2 #manhtretrongnha #manhtrengoautroi #thicongmanhtrequan2 #vietsunblinds",0
35,67cbe07658145571696cfe47a4baa015,"top list, top 10, top ten, danh sach top","Top 10 Thương hiệu khẩu trang y tế an toàn, chất lượng nhất hiện nay","Những chiếc khẩu trang y tế không còn xa lạ với người dân ở các đô thị. Khi vấn đề ô nhiễm không khí, khói bụi hay dịch bệnh đang ngày càng gia tăng thì những chiếc khẩu trang y tế đang dần trở thành vật dụng không thể thiếu của mỗi người. Khẩu trang y tế cũng được biết đến với tác dụng lọc vi khuẩn tới 80 - 90%, ngăn bụi bẩn và không khí độc hại. Hiện nay trên thị trường có rất nhiều hàng giả, hàng nhái, hàng kém chất lượng được bán tràn lan. Với những lời quảng cáo cực “hấp dẫn” như: khẩu trang chất lượng cao, siêu rẻ….Tuy nhiên, sự thật những sản phẩm đó chưa hề được kiểm nghiệm thực tế. Có thể tiềm ẩn những nguy cơ gây hại cho chính người sử dụng. Để bảo vệ chính mình, mọi người nên lựa chọn những thương hiệu uy tín, sản phẩm đã được kiểm định. Cùng toplist tìm hiểu một số thương hiệu khẩu trang y tế an toàn, chất lượng nhất hiện nay nhé.",1
36,01d92359b177bc4a0655be9a866554e3,24h,"Clip: Xe máy vượt ải đường khói và cái kết đối đầu ""Ngưu ma vương""","Trên đoạn khói mù mịt do người dân đốt đồng, hai thanh niên đi xe máy tưởng chừng sẽ vượt qua thành công nhưng cái kết cực thốn.",0
37,6c611c5023697e9b01eb3e2a32a7f2a6,24h,Một tuần sau khi kho hóa chất bị cháy: Người dân chưa thể về nhà vì ô nhiễm không khí,"Đến nay, hiện trường vụ cháy kho chứa hóa chất trên đường Trần Đại Nghĩa, huyện Bình Chánh (TPHCM) vào rạng sáng 10/7 vẫn còn khói, kèm theo mùi hôi khó chịu khiến nhiều hộ dân sống xung quanh vẫn chưa thể về nhà vì nỗi lo ô nhiễm không khí.",-1
